date,year,eyci,adjeyci
06/08/1997,1997.683105,175.00,220.99
07/08/1997,1997.685845,176.00,222.25
08/08/1997,1997.688584,176.50,222.88
11/08/1997,1997.696804,177.00,223.51
12/08/1997,1997.699543,178.75,225.72
13/08/1997,1997.702283,179.25,226.35
14/08/1997,1997.705023,179.75,226.98
15/08/1997,1997.707763,180.50,227.93
18/08/1997,1997.715982,181.50,229.19
19/08/1997,1997.718721,181.75,229.51
20/08/1997,1997.721461,182.50,230.46
21/08/1997,1997.724201,183.25,231.40
22/08/1997,1997.726941,184.00,232.35
25/08/1997,1997.73516,185.50,234.24
26/08/1997,1997.7379,185.50,234.24
27/08/1997,1997.740639,185.75,234.56
28/08/1997,1997.743379,184.25,232.67
29/08/1997,1997.746119,184.00,232.35
01/09/1997,1997.75274,182.00,229.82
02/09/1997,1997.755479,182.50,230.46
03/09/1997,1997.758219,181.75,229.51
04/09/1997,1997.760959,182.75,230.77
05/09/1997,1997.763699,183.00,231.09
08/09/1997,1997.771918,184.50,232.98
09/09/1997,1997.774658,187.50,236.77
10/09/1997,1997.777397,189.00,238.66
11/09/1997,1997.780137,189.50,239.30
12/09/1997,1997.782877,189.25,238.98
15/09/1997,1997.791096,190.25,240.24
16/09/1997,1997.793836,190.00,239.93
17/09/1997,1997.796575,190.25,240.24
18/09/1997,1997.799315,191.25,241.51
19/09/1997,1997.802055,192.00,242.45
22/09/1997,1997.810274,194.75,245.93
23/09/1997,1997.813014,198.00,250.03
24/09/1997,1997.815753,198.25,250.35
25/09/1997,1997.818493,199.75,252.24
26/09/1997,1997.821233,199.75,252.24
29/09/1997,1997.829452,200.75,253.50
30/09/1997,1997.832192,203.50,256.97
01/10/1997,1997.836073,204.25,257.92
02/10/1997,1997.838813,204.50,258.24
03/10/1997,1997.841553,204.50,258.24
06/10/1997,1997.849772,204.00,257.61
07/10/1997,1997.852511,205.00,258.87
08/10/1997,1997.855251,206.00,260.13
09/10/1997,1997.857991,206.00,260.13
10/10/1997,1997.860731,204.75,258.55
13/10/1997,1997.86895,202.00,255.08
14/10/1997,1997.871689,195.50,246.87
15/10/1997,1997.874429,193.50,244.35
16/10/1997,1997.877169,190.75,240.87
17/10/1997,1997.879909,188.75,238.35
20/10/1997,1997.888128,185.75,234.56
21/10/1997,1997.890868,182.75,230.77
22/10/1997,1997.893607,182.50,230.46
23/10/1997,1997.896347,182.25,230.14
24/10/1997,1997.899087,183.25,231.40
27/10/1997,1997.907306,181.00,228.56
28/10/1997,1997.910046,178.50,225.41
29/10/1997,1997.912785,177.50,224.14
30/10/1997,1997.915525,177.50,224.14
31/10/1997,1997.918265,177.75,224.46
03/11/1997,1997.924886,178.25,225.09
04/11/1997,1997.927626,179.00,226.04
05/11/1997,1997.930365,178.75,225.72
06/11/1997,1997.933105,178.50,225.41
07/11/1997,1997.935845,178.75,225.72
10/11/1997,1997.944064,179.00,226.04
11/11/1997,1997.946804,179.25,226.35
12/11/1997,1997.949543,178.75,225.72
13/11/1997,1997.952283,178.25,225.09
14/11/1997,1997.955023,178.25,225.09
17/11/1997,1997.963242,178.00,224.77
18/11/1997,1997.965982,175.25,221.30
19/11/1997,1997.968721,175.50,221.62
20/11/1997,1997.971461,175.25,221.30
21/11/1997,1997.974201,174.50,220.35
24/11/1997,1997.98242,173.25,218.78
25/11/1997,1997.98516,174.50,220.35
26/11/1997,1997.9879,174.00,219.72
27/11/1997,1997.990639,173.25,218.78
28/11/1997,1997.993379,173.00,218.46
01/12/1997,1998.00274,170.75,215.62
02/12/1997,1998.005479,168.75,213.09
03/12/1997,1998.008219,167.50,211.51
04/12/1997,1998.010959,167.25,211.20
05/12/1997,1998.013699,166.25,209.94
08/12/1997,1998.021918,166.25,209.94
09/12/1997,1998.024658,165.50,208.99
10/12/1997,1998.027397,166.00,209.62
11/12/1997,1998.030137,167.00,210.88
15/12/1997,1998.041096,167.25,211.20
16/12/1997,1998.043836,167.75,211.83
17/12/1997,1998.046575,168.75,213.09
18/12/1997,1998.049315,168.75,213.09
19/12/1997,1998.052055,169.50,214.04
08/01/1998,1998.105251,170.25,213.19
09/01/1998,1998.107991,169.00,211.63
12/01/1998,1998.11621,168.00,210.38
13/01/1998,1998.11895,165.50,207.25
14/01/1998,1998.121689,164.75,206.31
15/01/1998,1998.124429,164.50,205.99
16/01/1998,1998.127169,164.75,206.31
19/01/1998,1998.135388,165.00,206.62
20/01/1998,1998.138128,166.25,208.19
21/01/1998,1998.140868,166.00,207.87
22/01/1998,1998.143607,165.00,206.62
23/01/1998,1998.146347,165.25,206.93
27/01/1998,1998.157306,165.00,206.62
28/01/1998,1998.160046,166.75,208.81
29/01/1998,1998.162785,166.75,208.81
30/01/1998,1998.165525,168.00,210.38
02/02/1998,1998.172146,167.50,209.75
03/02/1998,1998.174886,168.50,211.00
04/02/1998,1998.177626,167.50,209.75
05/02/1998,1998.180365,167.25,209.44
06/02/1998,1998.183105,166.50,208.50
09/02/1998,1998.191324,165.25,206.93
10/02/1998,1998.194064,166.25,208.19
11/02/1998,1998.196804,167.00,209.13
12/02/1998,1998.199543,167.25,209.44
13/02/1998,1998.202283,168.75,211.32
16/02/1998,1998.210502,170.50,213.51
17/02/1998,1998.213242,170.75,213.82
18/02/1998,1998.215982,172.00,215.39
19/02/1998,1998.218721,172.25,215.70
20/02/1998,1998.221461,172.75,216.33
23/02/1998,1998.22968,173.75,217.58
24/02/1998,1998.23242,174.75,218.83
25/02/1998,1998.23516,174.50,218.52
26/02/1998,1998.2379,174.00,217.89
27/02/1998,1998.240639,172.75,216.33
02/03/1998,1998.255479,171.25,214.45
03/03/1998,1998.258219,170.00,212.88
04/03/1998,1998.260959,168.50,211.00
05/03/1998,1998.263699,167.25,209.44
06/03/1998,1998.266438,167.00,209.13
09/03/1998,1998.274658,166.00,207.87
10/03/1998,1998.277397,161.00,201.61
11/03/1998,1998.280137,159.25,199.42
12/03/1998,1998.282877,158.50,198.48
13/03/1998,1998.285616,157.75,197.54
16/03/1998,1998.293836,156.50,195.98
17/03/1998,1998.296575,154.00,192.85
18/03/1998,1998.299315,153.50,192.22
19/03/1998,1998.302055,153.75,192.53
20/03/1998,1998.304795,154.25,193.16
23/03/1998,1998.313014,154.25,193.16
24/03/1998,1998.315753,154.50,193.47
25/03/1998,1998.318493,155.50,194.72
26/03/1998,1998.321233,156.00,195.35
27/03/1998,1998.323973,156.75,196.29
30/03/1998,1998.332192,156.50,195.98
31/03/1998,1998.334932,154.75,193.79
01/04/1998,1998.336073,153.00,191.59
02/04/1998,1998.338813,151.00,189.09
03/04/1998,1998.341553,149.50,187.21
06/04/1998,1998.349772,148.50,185.96
07/04/1998,1998.352511,149.25,186.90
08/04/1998,1998.355251,148.75,186.27
09/04/1998,1998.357991,150.00,187.84
14/04/1998,1998.371689,153.00,191.59
15/04/1998,1998.374429,156.25,195.66
16/04/1998,1998.377169,156.75,196.29
17/04/1998,1998.379909,158.50,198.48
20/04/1998,1998.388128,158.00,197.85
21/04/1998,1998.390868,159.50,199.73
22/04/1998,1998.393607,161.25,201.92
23/04/1998,1998.396347,163.25,204.43
24/04/1998,1998.399087,163.75,205.06
27/04/1998,1998.407306,167.00,209.13
28/04/1998,1998.410046,169.25,211.94
29/04/1998,1998.412785,169.50,212.26
30/04/1998,1998.415525,167.00,209.13
01/05/1998,1998.419406,167.50,209.75
04/05/1998,1998.427626,168.25,210.69
05/05/1998,1998.430365,170.00,212.88
06/05/1998,1998.433105,170.75,213.82
07/05/1998,1998.435845,173.50,217.26
08/05/1998,1998.438584,173.75,217.58
11/05/1998,1998.446804,174.00,217.89
12/05/1998,1998.449543,174.25,218.20
13/05/1998,1998.452283,173.75,217.58
14/05/1998,1998.455023,174.75,218.83
15/05/1998,1998.457763,175.50,219.77
18/05/1998,1998.465982,176.75,221.33
19/05/1998,1998.468721,179.25,224.47
